"Name","truth","response","condition"
"Methanosarcina soligelidi",28,42.4438096987991,"mean_ogt"
"Methanosarcina spelaei",33,32.7442771879866,"mean_ogt"
"Methanosarcina thermophila",55,35.665522774863,"mean_ogt"
"Methanosarcina vacuolata",38,34.4422481127946,"mean_ogt"
"Methanosphaerula palustris",30,37.1150300512037,"mean_ogt"
"Methanospirillum hungatei",41,38.5642870305745,"mean_ogt"
"Methanospirillum lacunae",30,30.540459016788,"mean_ogt"
"Methanothermobacter crinale",65,66.930682143308,"mean_ogt"
"Methanothermobacter tenebrarum",70,56.1116269789426,"mean_ogt"
"Methanothermobacter thermautotrophicus",67.5,61.1973767142356,"mean_ogt"
"Methanothermococcus okinawensis",62.5,55.2091247872954,"mean_ogt"
"Methanothermococcus thermolithotrophicus",65,69.5297287939319,"mean_ogt"
"Methanotorris igneus",88,84.0770180621853,"mean_ogt"
"Methermicoccus shengliensis",65,59.8686378254185,"mean_ogt"
"Methanobacterium alcaliphilum",0.068,0.0447178888888889,"growth_rate"
"Methanobacterium beijingense",0.049,0.0470071111111111,"growth_rate"
"Methanobacterium bryantii",0.036,0.0595953333333333,"growth_rate"
"Methanobacterium congolense",0.092,0.052132888888889,"growth_rate"
"Methanobacterium ferruginis",0.037,0.0717806666666666,"growth_rate"
"Methanobacterium flexile",0.032,0.0328565777777778,"growth_rate"
"Methanobacterium kanagiense",0.031,0.140674444444445,"growth_rate"
"Methanobacterium lacus",0.032,0.187555111111111,"growth_rate"
"Methanobacterium movens",0.027,0.0321650666666667,"growth_rate"
"Methanobacterium petrolearium",0.018,0.0475324444444444,"growth_rate"
"Methanobacterium subterraneum",0.178,0.0940348888888888,"growth_rate"
"Methanobacterium thermaggregans",0.198,0.0965568888888889,"growth_rate"
"Methanocaldococcus fervens",2.1,1.45695955555556,"growth_rate"
"Methanocaldococcus infernus",1.35,1.679096,"growth_rate"
"Methanocaldococcus jannaschii",1.6,1.53111333333333,"growth_rate"
"Methanocaldococcus vulcanius",1.05,1.63184,"growth_rate"
"Methanocella arvoryzae",0.087,0.0545716507936509,"growth_rate"
"Methanocella conradii",0.11,0.0670733333333335,"growth_rate"
"Methanococcoides methylutens",0.133,0.0655991555555558,"growth_rate"
"Methanococcus aeolicus",0.5,0.119518888888889,"growth_rate"
"Methanococcus maripaludis",0.35,0.546133777777776,"growth_rate"
"Methanocorpusculum aggregans",0.087,0.0808143111111118,"growth_rate"
"Methanocorpusculum labreanum",0.075,0.0852904444444455,"growth_rate"
"Methanocorpusculum parvum",0.087,0.0780187111111118,"growth_rate"
"Methanoculleus bourgensis",0.039,0.0716896666666667,"growth_rate"
"Methanoculleus chikugoensis",0.015,0.0662968888888893,"growth_rate"
"Methanoculleus horonobensis",0.1,0.0903756666666669,"growth_rate"
"Methanoculleus marisnigri",0.069,0.0813312000000003,"growth_rate"
"Methanoculleus thermophilus",0.277,0.0507026666666669,"growth_rate"
"Methanofollis ethanolicus",0.01,0.0814125714285717,"growth_rate"
"Methanohalophilus levihalophilus",0.039,0.0685021396825399,"growth_rate"
"Methanohalophilus portucalensis",0.14,0.0805431111111113,"growth_rate"
"Methanolacinia paynteri",0.144,0.0799640000000001,"growth_rate"
"Methanolinea mesophila",0.024,0.0589516,"growth_rate"
"Methanolinea tarda",0.007,0.0893651111111112,"growth_rate"
"Methanolobus bombayensis",0.156,0.0583834444444446,"growth_rate"
"Methanolobus profundi",0.139,0.0806793333333335,"growth_rate"
"Methanolobus psychrophilus",0.063,0.102988555555556,"growth_rate"
"Methanolobus taylorii",0.116,0.0616793777777778,"growth_rate"
"Methanolobus vulcani",0.13,0.057796888888889,"growth_rate"
"Methanolobus zinderi",0.07,0.0745870000000003,"growth_rate"
"Methanomethylovorans hollandica",0.06,0.108835555555556,"growth_rate"
"Methanomethylovorans thermophila",0.05,0.0567246666666669,"growth_rate"
"Methanopyrus kandleri",3.03,1.81589022222221,"growth_rate"
"Methanoregula boonei",0.017,0.103705961904762,"growth_rate"
"Methanoregula formicica",0.042,0.0997403333333334,"growth_rate"
"Methanosaeta pelagica",0.002,0.0658747777777779,"growth_rate"
"Methanosalsum zhilinae",0.12,0.0654111111111112,"growth_rate"
"Methanosarcina baltica",0.008,0.0683165841269842,"growth_rate"
"Methanosarcina barkeri",0.1,0.102118444444445,"growth_rate"
"Methanosarcina horonobensis",0.14,0.0890024444444446,"growth_rate"
"Methanosarcina lacustris",0.014,0.110139333333333,"growth_rate"
"Methanosarcina siciliae",0.1,0.074226888888889,"growth_rate"
"Methanosarcina soligelidi",0.006,0.103689777777778,"growth_rate"
"Methanosarcina spelaei",0.006,0.0516597222222223,"growth_rate"
"Methanosarcina thermophila",0.139,0.0845526666666668,"growth_rate"
"Methanosarcina vacuolata",0.14,0.0954474444444445,"growth_rate"
"Methanosphaerula palustris",0.036,0.0888637777777781,"growth_rate"
"Methanospirillum hungatei",0.033,0.0881508000000001,"growth_rate"
"Methanospirillum lacunae",0.021,0.071303955555556,"growth_rate"
"Methanothermobacter crinale",0.046,0.335405555555555,"growth_rate"
"Methanothermobacter tenebrarum",0.058,0.156469777777778,"growth_rate"
"Methanothermobacter thermautotrophicus",0.231,0.200926666666667,"growth_rate"
"Methanothermococcus okinawensis",1.386,0.566180666666661,"growth_rate"
"Methanothermococcus thermolithotrophicus",0.756,0.444541111111111,"growth_rate"
"Methanotorris igneus",1.662,1.37757555555555,"growth_rate"
"Methermicoccus shengliensis",0.139,0.515345111111108,"growth_rate"
"Methanobacterium alcaliphilum",0.012,0.0481934861633333,"mean_ogn"
"Methanobacterium beijingense",0.05,0.11298937113281,"mean_ogn"
"Methanobacterium bryantii",0,0.151645623335533,"mean_ogn"
"Methanobacterium congolense",0.017,0.0883271534651879,"mean_ogn"
"Methanobacterium ferruginis",0.34,0.176175719760933,"mean_ogn"
"Methanobacterium flexile",0,0.0302042451732285,"mean_ogn"
"Methanobacterium kanagiense",0.086,0.184307029685534,"mean_ogn"
"Methanobacterium lacus",0.1,0.0926232006901334,"mean_ogn"
"Methanobacterium movens",0,0.0399862725288,"mean_ogn"
"Methanobacterium petrolearium",0,0.181721045340867,"mean_ogn"
"Methanobacterium subterraneum",0.725,0.1148397031012,"mean_ogn"
"Methanobacterium thermaggregans",0,0.0367977678277333,"mean_ogn"
"Methanocaldococcus fervens",0.513347,0.4404124977112,"mean_ogn"
"Methanocaldococcus infernus",0.427789,0.423761168411,"mean_ogn"
"Methanocaldococcus jannaschii",0.5,0.478573323752,"mean_ogn"
"Methanocaldococcus vulcanius",0.427789,0.452394159351667,"mean_ogn"
"Methanocella arvoryzae",0,0.162191191813029,"mean_ogn"
"Methanocella conradii",0,0.171761551771333,"mean_ogn"
"Methanococcoides methylutens",0.44,0.411932994241,"mean_ogn"
"Methanococcus aeolicus",0.3,0.486959775772953,"mean_ogn"
"Methanococcus maripaludis",0.5,0.3832197445636,"mean_ogn"
"Methanocorpusculum aggregans",0.00342231,0.0146626990898667,"mean_ogn"
"Methanocorpusculum labreanum",0,0.0378607739833333,"mean_ogn"
"Methanocorpusculum parvum",0,0.0303911705580667,"mean_ogn"
"Methanoculleus bourgensis",0.0855578,0.0772664766845333,"mean_ogn"
"Methanoculleus chikugoensis",0.1,0.0741800554183333,"mean_ogn"
"Methanoculleus horonobensis",0.15,0.058145816065,"mean_ogn"
"Methanoculleus marisnigri",0,0.107664143136667,"mean_ogn"
"Methanoculleus thermophilus",0.2,0.0852206061916667,"mean_ogn"
"Methanofollis ethanolicus",0,0.1127177060896,"mean_ogn"
"Methanohalophilus levihalophilus",0.375,0.438267463666667,"mean_ogn"
"Methanohalophilus portucalensis",1.25,0.360454592117524,"mean_ogn"
"Methanolacinia paynteri",0.15,0.0907268564411333,"mean_ogn"
"Methanolinea mesophila",0,0.0569315612077333,"mean_ogn"
"Methanolinea tarda",0,0.0808213859532666,"mean_ogn"
"Methanolobus bombayensis",0.5,0.423415347596,"mean_ogn"
"Methanolobus profundi",0.35,0.45757809174,"mean_ogn"
"Methanolobus psychrophilus",0.225,0.346682553779533,"mean_ogn"
"Methanolobus taylorii",0.5,0.360605617267333,"mean_ogn"
"Methanolobus vulcani",0.5,0.386466092566667,"mean_ogn"
"Methanolobus zinderi",0.4,0.413452166366667,"mean_ogn"
"Methanomethylovorans hollandica",0.04,0.351911272482667,"mean_ogn"
"Methanomethylovorans thermophila",0.1,0.283096447378334,"mean_ogn"
"Methanopyrus kandleri",0.34,0.328100348092467,"mean_ogn"
"Methanoregula boonei",0,0.0394446946364952,"mean_ogn"
"Methanoregula formicica",0,0.0549939903590667,"mean_ogn"
"Methanosaeta pelagica",0.28,0.318837652843733,"mean_ogn"
"Methanosalsum zhilinae",0.7,0.359550721948,"mean_ogn"
"Methanosarcina baltica",0.45,0.238820877128867,"mean_ogn"
"Methanosarcina barkeri",0.375,0.11722593594,"mean_ogn"
"Methanosarcina horonobensis",0.1,0.225636079696067,"mean_ogn"
"Methanosarcina lacustris",0,0.224645184759105,"mean_ogn"
"Methanosarcina siciliae",0.5,0.0956857740094667,"mean_ogn"
"Methanosarcina soligelidi",0.02,0.187934651239,"mean_ogn"
"Methanosarcina spelaei",0.05,0.157749220306667,"mean_ogn"
"Methanosarcina thermophila",0,0.2120266387712,"mean_ogn"
"Methanosarcina vacuolata",0,0.214727610933733,"mean_ogn"
"Methanosphaerula palustris",0.025,0.0460276168478,"mean_ogn"
"Methanospirillum hungatei",0,0.124105620185533,"mean_ogn"
"Methanospirillum lacunae",0,0.152093166104571,"mean_ogn"
"Methanothermobacter crinale",0.000427789,0.14651094069,"mean_ogn"
"Methanothermobacter tenebrarum",0.0427789,0.0331074918328666,"mean_ogn"
"Methanothermobacter thermautotrophicus",0.0102669,0.0581529875941333,"mean_ogn"
"Methanothermococcus okinawensis",0.5989045,0.377845905322333,"mean_ogn"
"Methanothermococcus thermolithotrophicus",0.684463,0.401252042922067,"mean_ogn"
"Methanotorris igneus",0.308008,0.456805093601067,"mean_ogn"
"Methermicoccus shengliensis",0.4,0.264476805823467,"mean_ogn"
"Methanobacterium alcaliphilum",8.6,7.49483702380952,"mean_ogp"
"Methanobacterium beijingense",7.45,7.21015238095238,"mean_ogp"
"Methanobacterium bryantii",7.05,7.36415619047619,"mean_ogp"
"Methanobacterium congolense",7.2,7.39004988095238,"mean_ogp"
"Methanobacterium ferruginis",6.75,7.33508714285715,"mean_ogp"
"Methanobacterium flexile",8,7.57195071428571,"mean_ogp"
"Methanobacterium kanagiense",8,7.11997357142857,"mean_ogp"
"Methanobacterium lacus",6.5,7.36474488095238,"mean_ogp"
"Methanobacterium movens",7.5,7.76597928571428,"mean_ogp"
"Methanobacterium petrolearium",6.5,7.29808119047619,"mean_ogp"
"Methanobacterium subterraneum",8.3,7.27107011904762,"mean_ogp"
"Methanobacterium thermaggregans",7.25,7.28256428571428,"mean_ogp"
"Methanocaldococcus fervens",6.5,6.16723428571428,"mean_ogp"
"Methanocaldococcus infernus",6.5,6.28136523809523,"mean_ogp"
"Methanocaldococcus jannaschii",6,6.37254523809524,"mean_ogp"
"Methanocaldococcus vulcanius",6.5,6.27834095238095,"mean_ogp"
"Methanocella arvoryzae",7,6.87278583333333,"mean_ogp"
"Methanocella conradii",6.8,6.78504571428572,"mean_ogp"
"Methanococcoides methylutens",7.25,7.5712469047619,"mean_ogp"
"Methanococcus aeolicus",7,6.75964452380951,"mean_ogp"
"Methanococcus maripaludis",6,6.78908083333333,"mean_ogp"
"Methanocorpusculum aggregans",6.75,7.09114285714285,"mean_ogp"
"Methanocorpusculum labreanum",7,6.93607273809523,"mean_ogp"
"Methanocorpusculum parvum",7.15,6.86161416666668,"mean_ogp"
"Methanoculleus bourgensis",6.7,6.79726083333334,"mean_ogp"
"Methanoculleus chikugoensis",6.95,6.82221916666667,"mean_ogp"
"Methanoculleus horonobensis",6.75,6.74295714285714,"mean_ogp"
"Methanoculleus marisnigri",6.4,6.81901369047619,"mean_ogp"
"Methanoculleus thermophilus",7,6.74882142857142,"mean_ogp"
"Methanofollis ethanolicus",7,7.00621261904762,"mean_ogp"
"Methanohalophilus levihalophilus",7.25,7.14103690476189,"mean_ogp"
"Methanohalophilus portucalensis",7,7.25641083333333,"mean_ogp"
"Methanolacinia paynteri",7,6.87703892857143,"mean_ogp"
"Methanolinea mesophila",7,6.8307530952381,"mean_ogp"
"Methanolinea tarda",7,6.67458654761905,"mean_ogp"
"Methanolobus bombayensis",7.2,7.00622309523809,"mean_ogp"
"Methanolobus profundi",6.55,7.32167583333333,"mean_ogp"
"Methanolobus psychrophilus",7.1,7.15929130952381,"mean_ogp"
"Methanolobus taylorii",7.85,7.06942142857143,"mean_ogp"
"Methanolobus vulcani",7.2,7.22382940476191,"mean_ogp"
"Methanolobus zinderi",7.5,7.2034438095238,"mean_ogp"
"Methanomethylovorans hollandica",6.75,7.18028559523809,"mean_ogp"
"Methanomethylovorans thermophila",6.6,7.17170392857142,"mean_ogp"
"Methanopyrus kandleri",6.5,6.44599738095238,"mean_ogp"
"Methanoregula boonei",5.1,7.17838428571429,"mean_ogp"
"Methanoregula formicica",7.4,6.56257166666667,"mean_ogp"
"Methanosaeta pelagica",7.5,7.04669261904762,"mean_ogp"
"Methanosalsum zhilinae",9.2,7.02045333333334,"mean_ogp"
"Methanosarcina baltica",7.2,7.11332059523809,"mean_ogp"
"Methanosarcina barkeri",7,7.06524273809524,"mean_ogp"
"Methanosarcina horonobensis",7.125,7.11069642857143,"mean_ogp"
"Methanosarcina lacustris",7,7.03129857142857,"mean_ogp"
"Methanosarcina siciliae",6.8,7.19233261904762,"mean_ogp"
"Methanosarcina soligelidi",7.8,6.96135714285714,"mean_ogp"
"Methanosarcina spelaei",6.5,7.15771404761905,"mean_ogp"
"Methanosarcina thermophila",6.5,7.16089273809524,"mean_ogp"
"Methanosarcina vacuolata",7.5,6.87548345238095,"mean_ogp"
"Methanosphaerula palustris",5.5,6.96906797619048,"mean_ogp"
"Methanospirillum hungatei",8,6.88078845238096,"mean_ogp"
"Methanospirillum lacunae",7.5,6.79881202380952,"mean_ogp"
"Methanothermobacter crinale",6.9,7.19886440476191,"mean_ogp"
"Methanothermobacter tenebrarum",7.3,6.96399416666667,"mean_ogp"
"Methanothermobacter thermautotrophicus",7.4,7.26528345238095,"mean_ogp"
"Methanothermococcus okinawensis",6.5,6.85647547619048,"mean_ogp"
"Methanothermococcus thermolithotrophicus",7,6.46100773809523,"mean_ogp"
"Methanotorris igneus",5.7,6.55197214285714,"mean_ogp"
"Methermicoccus shengliensis",6.25,6.86399666666667,"mean_ogp"
